gi9837270	1-aminocyclopropane-1-carboxylate deaminase:1.0
gi16078516	adenine deaminase:1.0
gi1518868	adenosine deaminase:1.0
gi3892028	adenosine deaminase:1.0
gi4557249	adenosine deaminase:1.0
gi6680636	adenosine deaminase:1.0
gi15802037	adenosine deaminase:1.0
gi16129581	adenosine deaminase:1.0
gi18426812	adenosine deaminase:1.0
gi20141178	adenosine deaminase:1.0
gi24113013	adenosine deaminase:1.0
gi28373486	adenosine deaminase:1.0
gi171366	allantoinase:1.0
gi627281	allantoinase:1.0
gi728827	allantoinase:1.0
gi6322218	allantoinase:1.0
gi12644702	ammelide aminohydrolase:1.0
gi13022196	ammelide aminohydrolase:1.0
gi171053	AMP deaminase:1.0
gi178547	AMP deaminase:1.0
gi399033	AMP deaminase:1.0
gi608499	AMP deaminase:1.0
gi644509	AMP deaminase:1.0
gi995562	AMP deaminase:1.0
gi2134756	AMP deaminase:1.0
gi2494043	AMP deaminase:1.0
gi2494044	AMP deaminase:1.0
gi4502079	AMP deaminase:1.0
gi4557311	AMP deaminase:1.0
gi5922016	AMP deaminase:1.0
gi5922018	AMP deaminase:1.0
gi6323606	AMP deaminase:1.0
gi6753048	AMP deaminase:1.0
gi7484807	AMP deaminase:1.0
gi7638159	AMP deaminase:1.0
gi11359582	AMP deaminase:1.0
gi13928736	AMP deaminase:1.0
gi13938134	AMP deaminase:1.0
gi16945394	AMP deaminase:1.0
gi18404701	AMP deaminase:1.0
gi18859679	AMP deaminase:1.0
gi19111945	AMP deaminase:1.0
gi20302047	AMP deaminase:1.0
gi21264318	AMP deaminase:1.0
gi21294189	AMP deaminase:1.0
gi21311925	AMP deaminase:1.0
gi348315	aryldialkylphosphatase:1.0
gi6141557	aryldialkylphosphatase:1.0
gi6226558	atrazine chlorohydrolase:1.0
gi1246354	cytosine deaminase:1.0
gi1657533	cytosine deaminase:1.0
gi15595634	cytosine deaminase:1.0
gi15602430	cytosine deaminase:1.0
gi15800066	cytosine deaminase:1.0
gi16120505	cytosine deaminase:1.0
gi16128322	cytosine deaminase:1.0
gi16762096	cytosine deaminase:1.0
gi16766629	cytosine deaminase:1.0
gi3122248	d-hydantoinase:1.0
gi3122249	d-hydantoinase:1.0
gi3334230	d-hydantoinase:1.0
gi15595638	d-hydantoinase:1.0
gi18478562	d-hydantoinase:1.0
gi21362600	d-hydantoinase:1.0
gi21730171	d-hydantoinase:1.0
gi22988246	d-hydantoinase:1.0
gi23062845	d-hydantoinase:1.0
gi23200220	d-hydantoinase:1.0
gi1346930	dihydroorotase1:1.0
